url,reference,text_content,error
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26676,1009592,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33271,1009613,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33409,1009616,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36679,1009905,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/31313,1009906,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/44674,1009908,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/31087,1009910,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30414,1009916,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29048,1009950,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45924,1009989,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38311,1010218,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42400,1010248,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33073,1010330,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38730,1010331,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38312,1010411,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34785,1010419,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40787,1010457,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34201,1010463,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39310,1010467,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40657,1010518,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35280,1010631,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42304,1010632,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42193,1010633,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35394,1010638,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35395,1010639,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27935,1010741,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36166,1010797,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28789,1010966,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29983,1011286,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29673,1011747,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49622,1011768,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27180,1011806,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29065,1012035,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29066,1012037,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30178,1012040,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33857,1012128,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45215,1012129,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45219,1012190,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33428,1012228,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/31627,1012301,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37086,1012347,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38726,1012375,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33740,1012376,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39969,1012390,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34751,1012392,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39303,1012510,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33862,1012518,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39304,1012544,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28523,1012715,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37247,1012855,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34032,1012905,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37568,1012993,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27930,1012998,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27486,1013009,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27598,1013063,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37041,1013249,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42143,1013251,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45700,1013255,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36946,1013267,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26192,1013338,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39645,1013352,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34754,1013353,NA,cannot open the connection
